"","processo","digital","situacao","cd_processo","v1","area","assunto","classe","distribuicao","orgao_julgador","origem","outros_numeros","processo_principal","recurso","relator","revisor","secao","ultima_carga","valor_da_acao","volume_apenso"
"11","00001762520128260368",FALSE,NA,"RI005BDNT0000","
                        
                            
                        
                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","00001762520128260368",FALSE,NA,"RI005BDNT0000"," 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","00001769620158260084",FALSE,"Julgado Transitado","RI005LOKH0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 1ª Câmara de Direito Privado
","Comarca de Campinas / Foro de Vila Mimosa - Regional de Campi / 2ª Vara","
                            
                            
                                    63/2015
                            
                        ",NA,NA,"RUI CASCALDI",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 3.1.1.1 - Serv. de Proces. da 1ª Câmara de Dir. Privado.Remessa: 03/09/2021
                            Destino: Foro / Fórum de Vila Mimosa - Regional de Campi.Recebimento: 03/09/2021 
                        ","190.000,00","2 / 0"
"14","00002396920138260512",FALSE,"Encerrado","RI005H8R70000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de Rio Grande da Serra / Foro de Rio Grande da Serra / Vara Única","
                            
                            
                                    242/2013
                            
                        ",NA,NA,"MARCUS VINICIUS RIOS GONÇALVES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Remessa: 16/05/2022
                            Destino: Foro / Foro Distrital de Rio Grande da Serra.Recebimento: 16/05/2022 
                        ","10.000,00","3 / 0"
"15","00002659520158260383",FALSE,"Julgado","RI005PWF30000",NA,"Cível","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO - Responsabilidade da Administração - Indenização por Dano Moral - Erro Médico"," Apelação Cível
",NA," 11ª Câmara de Direito Público
","Comarca de Nhandeara / Foro de Nhandeara / Vara Única","
                            
                            
                                    0000894-69.2015.8.26.0383
                            
                        ",NA,NA,"AFONSO FARO JR.",NA," Direito Público
","
                            Origem: Serviço de Process. de Recursos de Dir. Público / SJ 4.11 - Serv. de Proces. de Rec. aos Tribunais Superiores do 5º ao 8º Gr. de Câm. de Dir. Público.Remessa: 06/10/2022
                            Destino: Posto de Digitalização / Praça Almeida Jr, 72.Recebimento: 06/10/2022 
                        ","500.000,00","3 / 1"
"16","00002826320128260278",TRUE,"Encerrado","RI006SVRQ0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 8ª Câmara de Direito Privado
","Comarca de Itaquaquecetuba / Foro de Itaquaquecetuba / 3ª Vara Cível","
                            
                                
                                        278.01.2012.000282
                                
                                
                                    278.01.2012.000282
                            
                        ",NA,NA,"CLARA MARIA ARAÚJO XAVIER",NA," Direito Privado 1
",NA,"43.600,00","2 / 0"
"17","00002938820128260538",FALSE,NA,"RI004YOF50000","
                        
                            
                        
                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","00002938820128260538",FALSE,NA,"RI004YOF50000"," 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","00003294420138260426",FALSE,"Encerrado","RI0039BKY0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de Patrocínio Paulista / Foro de Patrocínio Paulista / Vara Única","
                            
                            
                                    143/2013, 042.62.0130.000329, 0000329-44.2013.8.26.0426
                            
                        ",NA,NA,"MARIELLA FERRAZ DE ARRUDA POLLICE NOGUEIRA",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 13/10/2021
                            Destino: Foro / Fórum de Patrocínio Paulista.Recebimento: 13/10/2021 
                        ","200.000,00","2 / 0"
"20","00003456720138260306",FALSE,"Encerrado","RI004FL850000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 8ª Câmara de Direito Privado
","Comarca de José Bonifácio / Foro de José Bonifácio / 2ª Vara","
                            
                            
                                    82/2013
                            
                        ",NA,NA,"SILVÉRIO DA SILVA",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 3.1.4.2 - Serv. de Proces. da 8ª Câmara de Dir. Privado.Remessa: 23/08/2022
                            Destino: Foro / Fórum de José Bonifácio.Recebimento: 23/08/2022 
                        ","131.300,00","2 / 0"
"21","00003627720078260415",FALSE,"Encerrado","RI006F7F90000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 3ª Câmara de Direito Privado
","Comarca de Palmital / Foro de Palmital / 2ª Vara","
                            
                            
                                    4/2007
                            
                        ",NA,NA,"JOÃO PAZINE NETO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Remessa: 21/06/2022
                            Destino: Foro / Fórum de Palmital.Recebimento: 21/06/2022 
                        ","1.000,00","3 / 0"
"22","00003898720208260000",FALSE,"Julgado Transitado","RI005OW310000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Agravo de Instrumento
",NA," 1ª Câmara de Direito Privado
","Comarca de Matão / Foro de Matão / 1ª Vara Cível","
                            
                            
                                    1494/2019, Plantão, 000372
                            
                        ",NA,NA,"LUIZ ANTONIO DE GODOY",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 3.1.1.1 - Serv. de Proces. da 1ª Câmara de Dir. Privado.Remessa: 15/10/2020
                            Destino: Foro / Fórum de Matão.Recebimento: 15/10/2020 
                        ",NA,"2 / 0"
"23","00004363920208260363",TRUE,"Encerrado","RI006E0IP0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 1ª Câmara de Direito Privado
","Comarca de Mogi-Mirim / Foro de Mogi Mirim / 3ª Vara","
                            
                            
                                    0003980-21.2019.8.26.0362
                            
                        ",NA,NA,"CLAUDIO GODOY",NA," Direito Privado 1
",NA,NA,"0 / 0"
"24","00005560720118260587",FALSE,"Encerrado","RI0038UQ60000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 2ª Câmara de Direito Público
","Comarca de São Sebastião / Foro de São Sebastião / 1ª V.CÍVEL","
                            
                            
                                    157/2011
                            
                        ",NA,NA,"CARLOS VON ADAMEK",NA," Direito Público
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 4.1.2 - Serv. de Proces. da 2ª Câmara de Dir. Público.Remessa: 19/04/2022
                            Destino: Foro / Fórum de São Sebastião.Recebimento: 19/04/2022 
                        ","54.000,00","3 / 0"
"25","00006030920078260526",FALSE,"Encerrado","RI003W3PS0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 8ª Câmara de Direito Privado
","Comarca de Salto / Foro de Salto / 1ª Vara","
                            
                            
                                    80/2007
                            
                        ",NA,NA,"MÔNICA DE CARVALHO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 3.1.4.2 - Serv. de Proces. da 8ª Câmara de Dir. Privado.Remessa: 21/05/2021
                            Destino: Foro / Fórum de Salto.Recebimento: 21/05/2021 
                        ","35.000,00","4 / 2"
"26","00006112720148260627",FALSE,"Encerrado","RI004UZUP0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 8ª Câmara de Direito Privado
","Comarca de Teodoro Sampaio / Foro de Teodoro Sampaio / Vara Única","
                            
                            
                                    627/2014
                            
                        ",NA,NA,"PEDRO DE ALCÂNTARA DA SILVA LEME FILHO","SILVÉRIO DA SILVA"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 3.1.4.2 - Serv. de Proces. da 8ª Câmara de Dir. Privado.Remessa: 18/01/2021
                            Destino: Foro / Fórum de Teodoro Sampaio.Recebimento: 18/01/2021 
                        ","72.200,00","2 / 0"
"27","00006640420208260431",TRUE,"Encerrado","RI006G6NW0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 4ª Câmara de Direito Privado
","Comarca de Pederneiras / Foro de Pederneiras / 1ª Vara","
                            
                            
                                    0004680-79.2012.8.26.0431
                            
                        ",NA,NA,"ALCIDES LEOPOLDO",NA," Direito Privado 1
",NA,NA,"0 / 0"
"28","00006681620108260003",FALSE,"Encerrado","RI004ZARR0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 5ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Regional de Jabaquara / 5ª Vara Cível","
                            
                            
                                    0027150-98.2010.8.26.0003
                            
                        ",NA,NA,"ERICKSON GAVAZZA MARQUES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 5ª Câmara de Direito Privado.Remessa: 07/04/2022
                            Destino: Foro / Fórum Regional de Jabaquara.Recebimento: 07/04/2022 
                        ","97.000,00","3 / 2"
"29","00007368220138260286",FALSE,"Encerrado","RI0073FGX0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 4ª Câmara de Direito Privado
","Comarca de Itu / Foro de Itu / 3ª. Vara Cível","
                            
                            
                                    104/2013
                            
                        ",NA,NA,"ENIO ZULIANI",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 4ª Câmara de Direito Privado.Remessa: 29/03/2023
                            Destino: Foro / Fórum de Itu.Recebimento: 29/03/2023 
                        ","339.000,00","5 / 0"
"30","00007418020128260564",FALSE,"Encerrado","RI005O8VW0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 3ª Câmara de Direito Privado
","Comarca de São Bernardo do Campo / Foro de São Bernardo do Campo / 5ª Vara Cível","
                            
                            
                                    139/2012
                            
                        ",NA,NA,"MARIA DO CARMO HONÓRIO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 3ª Câmara de Direito Privado.Remessa: 01/10/2021
                            Destino: Foro / Fórum de São Bernardo do Campo.Recebimento: 01/10/2021 
                        ","210.600,00","3 / 1"
"31","00007464920128260323",FALSE,"Encerrado","RI00690AV0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 3ª Câmara de Direito Privado
","Comarca de Lorena / Foro de Lorena / 2ª Vara Cível","
                            
                            
                                    323.01.2012.000746, 0000746-49.2012.8.26.0323
                            
                        ",NA,NA,"DONEGÁ MORANDINI",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 3ª Câmara de Direito Privado.Remessa: 20/10/2021
                            Destino: Foro / Fórum de Lorena.Recebimento: 20/10/2021 
                        ","1.000,00","2 / 0"
"32","00007587020138260471",FALSE,"Encerrado","RI0065LWU0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 3ª Câmara de Direito Privado
","Comarca de Porto Feliz / Foro de Porto Feliz / 2ª Vara","
                            
                            
                                    047.12.0130.000758, 0000758-70.2013.8.26.0471
                            
                        ",NA,NA,"BERETTA DA SILVEIRA",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 3ª Câmara de Direito Privado.Remessa: 01/09/2021
                            Destino: Foro / Fórum de Porto Feliz.Recebimento: 01/09/2021 
                        ","67.800,00","3 / 0"
"33","00007601620108260125",FALSE,NA,"RI003MTLQ0000",NA,"Cível","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO-Responsabilidade da Administração-Indenização por Dano Material-Erro Médico"," Apelação Cível
",NA," 3ª Câmara de Direito Público
","Comarca de Capivari / Foro de Capivari / 2ª Vara Cível","
                            
                            
                                    183/2010
                            
                        ",NA,NA,"KLEBER LEYSER DE AQUINO",NA," Direito Público
","
                            Origem: Serviço de Distribuição de Recursos / SJ 2.1.9 - Serviço de Distribuição de Direito Público.Remessa: 24/10/2022
                            Destino: Gabinete do Desembargador / Kleber Leyser de Aquino.Recebimento: 25/10/2022 
                        ","600.000,00","5 / 1"
"34","00007903720128260010",FALSE,"Encerrado","RI0058R7Z0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 10ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Regional de Ipiranga / 2ª Vara Cível","
                            
                            
                                    126/2012
                            
                        ",NA,NA,"SILVIA MARIA FACCHINA ESPÓSITO MARTINEZ",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 10ª Câmara de Direito Privado.Remessa: 31/08/2021
                            Destino: Foro / Fórum Regional de Ipiranga.Recebimento: 31/08/2021 
                        ","62.200,00","5 / 0"
"35","00008006420138260457",FALSE,"Encerrado","RI006L7M90000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 4ª Câmara de Direito Privado
","Comarca de Pirassununga / Foro de Pirassununga / 1ª Vara","
                            
                            
                                    118/2013
                            
                        ",NA,NA,"ALCIDES LEOPOLDO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 4ª Câmara de Direito Privado.Remessa: 22/02/2022
                            Destino: Foro / Fórum de Pirassununga.Recebimento: 22/02/2022 
                        ","100.000,00","3 / 0"
"36","00008119120118260060",FALSE,"Encerrado","RI005KT5E0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 3ª Câmara de Direito Privado
","Comarca de Auriflama / Foro de Auriflama / Vara Única","
                            
                            
                                    050.01.2011.000811, 0000811-91.2011.8.26.0060
                            
                        ",NA,NA,"MARIA DO CARMO HONÓRIO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 3ª Câmara de Direito Privado.Remessa: 25/09/2020
                            Destino: Foro / Fórum de Auriflama.Recebimento: 25/09/2020 
                        ","50.000,00","3 / 0"
"37","00008185620118260360",FALSE,"Encerrado","RI0036FQD0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de Mococa / Foro de Mococa / 1ª Vara","
                            
                            
                                    253/2011, 360.01.2011.000818-2/000000-000
                            
                        ",NA,NA,"MARIELLA FERRAZ DE ARRUDA POLLICE NOGUEIRA",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 25/08/2021
                            Destino: Foro / Fórum de Mococa.Recebimento: 25/08/2021 
                        ","1.000,00","3 / 0"
"38","00008326020118260224",FALSE,"Encerrado","RI002YANA0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de Guarulhos / Foro de Guarulhos / 5ª. Vara Cível","
                            
                            
                                    0027/2011
                            
                        ",NA,NA,"MARIO CHIUVITE JUNIOR",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 6ª Câmara de Direito Privado.Remessa: 02/03/2017
                            Destino: Foro / Fórum de Guarulhos.Recebimento: 02/03/2017 
                        ","25.500,00","2 / 0"
"39","00008326020118260224",FALSE,"Encerrado","RI005D5FI0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de Guarulhos / Foro de Guarulhos / 5ª. Vara Cível","
                            
                            
                                    27/2011
                            
                        ",NA,NA,"COSTA NETTO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 6ª Câmara de Direito Privado.Remessa: 21/05/2021
                            Destino: Foro / Fórum de Guarulhos.Recebimento: 21/05/2021 
                        ","25.500,00","3 / 0"
"40","00008339220198260344",TRUE,"Encerrado","RI005RCF00000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 2ª Câmara de Direito Privado
","Comarca de Marília / Foro de Marília / 2ª Vara Cível","
                            
                            
                                    0014971-11.2012.8.26.0344, 0000833-92.2019.8.26.0344/06, 0000833-92.2019.8.26.0344/08, 0000833-92.2019.8.26.0344/09, 0000833-92.2019.8.26.0344/10
                            
                        ",NA,NA,"JOSÉ JOAQUIM DOS SANTOS",NA," Direito Privado 1
",NA,"269.041,01","0 / 4"
"41","00008662220158260474",FALSE,"Encerrado","RI005R7UM0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de Potirendaba / Foro de Potirendaba / Vara Única","
                            
                            
                                    646/2015
                            
                        ",NA,NA,"MARCUS VINICIUS RIOS GONÇALVES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 6ª Câmara de Direito Privado.Remessa: 21/05/2021
                            Destino: Foro / Fórum de Potirendaba.Recebimento: 21/05/2021 
                        ","2.300,00","2 / 0"
"42","00008767920118260030",FALSE,"Encerrado","RI0066W6Y0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 10ª Câmara de Direito Privado
","Comarca de Apiaí / Foro de Apiaí / Vara Única","
                            
                            
                                    471/2011
                            
                        ",NA,NA,"ELCIO TRUJILLO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 10ª Câmara de Direito Privado.Remessa: 06/07/2022
                            Destino: Foro / Fórum de Apiaí.Recebimento: 06/07/2022 
                        ","30.000,00","2 / 0"
"43","00009158320158260144",FALSE,NA,"RI0073GMP0000","
                        
                            
                        
                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","00009158320158260144",FALSE,NA,"RI0073GMP0000"," 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","00009188420118260271",FALSE,"Encerrado","RI006M93K0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 4ª Câmara de Direito Privado
","Comarca de Itapevi / Foro de Itapevi / 2ª Vara Cível","
                            
                            
                                    3382/2011
                            
                        ",NA,NA,"ENIO ZULIANI",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 4ª Câmara de Direito Privado.Remessa: 04/03/2022
                            Destino: Foro / Fórum de Itapevi.Recebimento: 04/03/2022 
                        ","38.250,00","3 / 0"
"46","00009364620098260572",FALSE,"Encerrado","RI002BA270000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de São Joaquim da Barra / Foro de São Joaquim da Barra / 2ª. Vara Judicial","
                            
                            
                                    199/2009
                            
                        ",NA,NA,"MARIELLA FERRAZ DE ARRUDA POLLICE NOGUEIRA",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 25/08/2021
                            Destino: Foro / Fórum de São Joaquim da Barra.Recebimento: 25/08/2021 
                        ","5.400,00","3 / 3"
"47","00009412520158260486",FALSE,"Julgado Transitado","RI004TJW40000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 2ª Câmara de Direito Privado
","Comarca de Quatá / Foro de Quatá / Vara Única","
                            
                            
                                    593/2015
                            
                        ",NA,NA,"HERTHA HELENA DE OLIVEIRA",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 2ª Câmara de Direito Privado.Remessa: 09/10/2020
                            Destino: Foro / Fórum de Quatá.Recebimento: 09/10/2020 
                        ","394.000,00","3 / 0"
"48","00009850920148260024",FALSE,"Julgado","RI004W22M0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 8ª Câmara de Direito Privado
","Comarca de Andradina / Foro de Andradina / 1ª Vara","
                            
                            
                                    0274/2014
                            
                        ",NA,NA,"CLARA MARIA ARAÚJO XAVIER",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 3.1.4.2 - Serv. de Proces. da 8ª Câmara de Dir. Privado.Remessa: 04/12/2020
                            Destino: Foro / Fórum de Andradina.Recebimento: 04/12/2020 
                        ","1.000.000,00","3 / 0"
